ID,Treatment,Gradient,Pop,Population,Genotype,EarlyGrowth,Specific_Leaf_Area (SLA),Stomata,Flowering,Growth,Runnering,Elevation,Nheight,Slope,North_to_South
AT08_06,Normal,Sourroque,AT,Ates,AT08,3.232,58.957,18,0.247,2.651,3.395,750,0.422,13.803,6.34
SQ15_08,Normal,Sourroque,SQ,Sourroque,SQ15,3.811,49.048,25,2.583,4.13,3.39,927,0.236,23.743,33.158
AT16_01,Dry,Sourroque,AT,Ates,AT16,3.231,51.432,19,1.062,1.77,3.39,750,0.422,13.803,6.34
SQ02_08,Normal,Sourroque,SQ,Sourroque,SQ02,3.533,66.996,29,1.083,5.317,3.385,927,0.236,23.743,33.158
PN07_08,Normal,Axat,PN,Paounias,PN07,3.95,52.332,30,0.782,5.318,3.385,909,0.186,16.179,113.962
AT16_13,Wet,Sourroque,AT,Ates,AT16,3.445,63.283,24,0.624,7.984,3.382,750,0.422,13.803,6.34
TC07_02,Dry,Montoulieu,TC,Tournac,TC07,3.931,52.233,23,2.476,1.775,3.38,1021,0.535,25.54,80.538
G10_06,Normal,Grave,G,Grave,G10,3.535,53.421,16,0.233,4.438,3.38,1471,0.075,8.946,3.576
ML12_11,Wet,Montoulieu,ML,Montoulieu,ML12,3.352,57.174,33,0,6.22,3.376,466,0.126,21.386,82.073
AT16_15,Wet,Sourroque,AT,Ates,AT16,3.514,54.374,20,1.912,7.417,3.371,750,0.422,13.803,6.34
G09_08,Normal,Grave,G,Grave,G09,3.704,53.816,36,0.582,4.158,3.367,1471,0.075,8.946,3.576
TC10_10,Normal,Montoulieu,TC,Tournac,TC10,3.361,54.988,24,3.264,5.35,3.364,1021,0.535,25.54,80.538
F02_12,Wet,Grave,F,Freaux,F02,3.256,45.621,15,2.196,6.575,3.346,1409,0.194,29.362,9.545
LC09_09,Normal,Sourroque,LC,Lacourt,LC09,3.72,69.869,24,3.037,4.786,3.343,489,0.211,6.063,146.31
BV01_03,Dry,Montoulieu,BV,Belveze,BV01,3.274,44.753,34,2.434,2.095,3.341,1261,0.825,13.681,138.27
TC08_05,Dry,Montoulieu,TC,Tournac,TC08,3.164,50.74,19,1.751,1.199,3.336,1021,0.535,25.54,80.538
G06_09,Normal,Grave,G,Grave,G06,3.487,56.839,23,0.308,3.009,3.323,1471,0.075,8.946,3.576
TP09_11,Wet,Sourroque,TP,Toupi,TP09,3.632,57.689,18,1.363,10.255,3.315,1184,0.985,8.623,119.055
ML03_11,Wet,Montoulieu,ML,Montoulieu,ML03,3.196,75.099,21,1.919,4.542,3.303,466,0.126,21.386,82.073
SQ10_06,Normal,Sourroque,SQ,Sourroque,SQ10,2.458,55.903,27,2.505,3.335,3.298,927,0.236,23.743,33.158
TP05_15,Wet,Sourroque,TP,Toupi,TP05,2.765,66.406,28,2.344,4.563,3.287,1184,0.985,8.623,119.055
G02_13,Wet,Grave,G,Grave,G02,3.898,56.114,20,2.733,7.608,3.286,1471,0.075,8.946,3.576
ML03_08,Normal,Montoulieu,ML,Montoulieu,ML03,3.312,59.261,26,1.453,4.602,3.259,466,0.126,21.386,82.073
AT15_06,Normal,Sourroque,AT,Ates,AT15,3.488,65.168,25,0.799,3.377,3.257,750,0.422,13.803,6.34
SQ12_02,Dry,Sourroque,SQ,Sourroque,SQ12,2.854,46.98,26,0,1.845,3.252,927,0.236,23.743,33.158
G08_13,Wet,Grave,G,Grave,G08,4.346,50.388,19,1.582,8.024,3.24,1471,0.075,8.946,3.576
G05_12,Wet,Grave,G,Grave,G05,3.5,52.218,15,1.158,6.515,3.223,1471,0.075,8.946,3.576
AT13_11,Wet,Sourroque,AT,Ates,AT13,3.982,47.357,25,1.345,8.387,3.219,750,0.422,13.803,6.34
F09_11,Wet,Grave,F,Freaux,F09,3.227,43.92,18,1.212,8.395,3.216,1409,0.194,29.362,9.545
AT11_07,Normal,Sourroque,AT,Ates,AT11,3.135,50.305,22,3.722,3.735,3.213,750,0.422,13.803,6.34
TP06_06,Normal,Sourroque,TP,Toupi,TP06,2.38,58.315,21,2.056,3.744,3.205,1184,0.985,8.623,119.055
ML04_10,Normal,Montoulieu,ML,Montoulieu,ML04,3.311,82.25,22,2.214,3.443,3.195,466,0.126,21.386,82.073
LC09_15,Wet,Sourroque,LC,Lacourt,LC09,2.974,59.471,17,0.643,3.14,3.185,489,0.211,6.063,146.31
LC12_14,Wet,Sourroque,LC,Lacourt,LC12,3.878,67.408,19,3.321,8.491,3.18,489,0.211,6.063,146.31
TP09_08,Normal,Sourroque,TP,Toupi,TP09,4.262,70.986,23,2.094,5.035,3.178,1184,0.985,8.623,119.055
ML03_03,Dry,Montoulieu,ML,Montoulieu,ML03,3.05,54.199,26,0.502,1.58,3.165,466,0.126,21.386,82.073
AT07_11,Wet,Sourroque,AT,Ates,AT07,3.871,62.768,24,2.77,12.993,3.156,750,0.422,13.803,6.34
ML05_01,Dry,Montoulieu,ML,Montoulieu,ML05,3.475,50.813,28,0.859,2.536,3.155,466,0.126,21.386,82.073
TP09_14,Wet,Sourroque,TP,Toupi,TP09,4.077,70.076,29,1.099,8.912,3.142,1184,0.985,8.623,119.055
TP13_15,Wet,Sourroque,TP,Toupi,TP13,3.604,58.145,20,2.997,7.326,3.14,1184,0.985,8.623,119.055
TP16_14,Wet,Sourroque,TP,Toupi,TP16,2.293,49.368,20,2.302,2.551,3.136,1184,0.985,8.623,119.055
SQ01_01,Dry,Sourroque,SQ,Sourroque,SQ01,3.387,47.338,16,0.859,2.239,3.126,927,0.236,23.743,33.158
TP13_09,Normal,Sourroque,TP,Toupi,TP13,3.708,57.641,23,1.596,4.802,3.124,1184,0.985,8.623,119.055
